vin_1_10,county,city,state,zip_code,model_year,make,model,ev_type,cafv_type,electric_range,legislative_district,dol_vehicle_id,geocoded_column,electric_utility,_2020_census_tract
7PD2EAAB0V,King,Tukwila,WA,98168,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,11,294287717,"{'type': 'Point', 'coordinates': [-122.29411, 47.48924]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026300
1G1FY6EV9V,Kitsap,Bremerton,WA,98312,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,35,290976017,"{'type': 'Point', 'coordinates': [-122.65223, 47.57192]}",PUGET SOUND ENERGY INC,53035092102
7PD2EAABXV,King,Seattle,WA,98108,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,37,297058450,"{'type': 'Point', 'coordinates': [-122.31449, 47.53917]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401
KNDPYDDH7V,Pierce,Puyallup,WA,98373,2027,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,25,294816294,"{'type': 'Point', 'coordinates': [-122.2988, 47.13795]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071206
1G1FZ6EV2V,Snohomish,Lake Stevens,WA,98258,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,292627380,"{'type': 'Point', 'coordinates': [-122.06402, 48.01497]}",PUGET SOUND ENERGY INC,53061052505
WA125BGF6V,King,Sammamish,WA,98075,2027,AUDI,SQ6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41,292546390,"{'type': 'Point', 'coordinates': [-122.03539, 47.61344]}",PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032218
1G1FY6EV2V,Snohomish,Mountlake Terrace,WA,98043,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,294629639,"{'type': 'Point', 'coordinates': [-122.31111, 47.78803]}",PUGET SOUND ENERGY INC,53061051302
1G1FY6EV5V,Snohomish,Lynnwood,WA,98087,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,294542629,"{'type': 'Point', 'coordinates': [-122.2552, 47.86508]}",PUGET SOUND ENERGY INC,53061051803
7PD2EAAB0V,Spokane,Spokane,WA,99206,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,4,295728758,"{'type': 'Point', 'coordinates': [-117.24781, 47.63516]}",BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,53063012401
WBY33HG07V,Pierce,Gig Harbor,WA,98332,2027,BMW,I5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,26,296864130,"{'type': 'Point', 'coordinates': [-122.58965, 47.34235]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072509
1G1FY6EVXV,Snohomish,Lynnwood,WA,98037,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,21,293905846,"{'type': 'Point', 'coordinates': [-122.2886, 47.84431]}",PUGET SOUND ENERGY INC,53061051802
1G1FY6EV3V,Pierce,Tacoma,WA,98407,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,27,291762453,"{'type': 'Point', 'coordinates': [-122.54304, 47.31803]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060500
1G1FY6EV2V,Mason,Allyn,WA,98524,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,35,292550562,"{'type': 'Point', 'coordinates': [-122.82984, 47.38173]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960403
1G1FZ6EV6V,San Juan,Friday Harbor,WA,98250,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,40,291204462,"{'type': 'Point', 'coordinates': [-123.01648, 48.53448]}",BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,53055960400
WAU5DAGH9V,Snohomish,Lake Stevens,WA,98258,2027,AUDI,A6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,292584575,"{'type': 'Point', 'coordinates': [-122.06402, 48.01497]}",PUGET SOUND ENERGY INC,53061052603
7PD2EAAB5V,Snohomish,Bothell,WA,98012,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,294095077,"{'type': 'Point', 'coordinates': [-122.20105, 47.84423]}",PUGET SOUND ENERGY INC,53061051933
1G1FZ6EV9V,Pierce,University Place,WA,98467,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,28,289579440,"{'type': 'Point', 'coordinates': [-122.50669, 47.20313]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072315
1G1FY6EV4V,Pierce,Tacoma,WA,98403,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,27,290183155,"{'type': 'Point', 'coordinates': [-122.45782, 47.26541]}",BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060600
7PD2EAAB5V,Snohomish,Edmonds,WA,98020,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,32,296692819,"{'type': 'Point', 'coordinates': [-122.37695, 47.81113]}",PUGET SOUND ENERGY INC,53061050800
7PD2EAAB3V,Spokane,Liberty Lake,WA,99019,2027,RIVIAN,R2,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,4,293660545,"{'type': 'Point', 'coordinates': [-117.10244, 47.66842]}",BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013205
1G1FY6EV7V,King,Seattle,WA,98107,2027,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,36,290901355,"{'type': 'Point', 'coordinates': [-122.37889, 47.66905]}",CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004703
WBY33HG06V,Douglas,Orondo,WA,98843,2027,BMW,I5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,12,293914232,"{'type': 'Point', 'coordinates': [-120.22795, 47.62353]}",PUD NO 1 OF DOUGLAS COUNTY,53017950101
